unique_id_azure_compute_shapes
Windows - E8ds v4
Windows - E16ds v4
Windows - E20ds v4
Windows - E32ds v4
Windows - E48ds v4
Windows - E64ds v4
Windows - E2 v4
Windows - E4 v4
Windows - E8 v4
Windows - E16 v4
Windows - E32 v4
Windows - E48 v4
Windows - E64 v4
Windows - E2s v4
Windows - E4s v4
Windows - E8s v4
Windows - E16s v4
Windows - E20s v4
Windows - E32s v4
Windows - E48s v4
Windows - E64s v4
Windows - E2 v3
Windows - E4 v3
Windows - E8 v3
Windows - E16 v3
Windows - E20 v3
Windows - E32 v3
Windows - E48 v3
Windows - E64i v3 1
Windows - E64 v3
Windows - E2s v3
Windows - E4s v3
Windows - E8s v3
Windows - E16s v3
Windows - E20s v3
Windows - E32s v3
Windows - E48s v3
Windows - E64is v3 1
Windows - E64s v3
Windows - D11 v2
Windows - D12 v2
Windows - D13 v2
Windows - D14 v2
Windows - D15i v2 1
Windows - D15 v2
Windows - DS11 v2
Windows - DS12 v2
Windows - DS13 v2
Windows - DS14 v2
Windows - DS15i v2 1
Windows - DS15 v2
Windows - M8ms
Windows - M16ms
Windows - M32ts
Windows - M32ls
Windows - M32ms
Windows - M64ls
Windows - M64ms
Windows - M64m 1
Windows - M128s
Windows - M128 1
Windows - M128ms
Windows - M128m 1
Windows - M64ms v2
Windows - M128s v2
Windows - M128ms v2
Windows - M192is v2
Windows - M192ims v2
Windows - M208s v2
Windows - M208ms v2
Windows - M416s v2
Windows - M416ms v2
Windows - L8s v3
Windows - L16s v3
Windows - L32s v3
Windows - L48s v3
Windows - L64s v3
A1 v2
A2 v2
A2m v2
A4 v2
A4m v2
A8 v2
A8m v2
D2ps v5
D4ps v5
D8ps v5
D16ps v5
D32ps v5
D48ps v5
D64ps v5
D2pds v5
D4pds v5
D8pds v5
D16pds v5
D32pds v5
D48pds v5
D64pds v5
D2pls v5
D4pls v5
D8pls v5
D16pls v5
D32pls v5
D48pls v5
D64pls v5
D2plds v5
D4plds v5
D8plds v5
D16plds v5
D32plds v5
D48plds v5
D64plds v5
E2ps v5
E4ps v5
E8ps v5
E16ps v5
E20ps v5
E32ps v5
E2pds v5
E4pds v5
E8pds v5
E16pds v5
E20pds v5
E32pds v5
Windows - A1 v2
Windows - A2 v2
Windows - A2m v2
Windows - A4 v2
Windows - A4m v2
Windows - A8 v2
Windows - A8m v2
Windows - D2ps v5
Windows - D4ps v5
Windows - D8ps v5
Windows - D16ps v5
Windows - D32ps v5
Windows - D48ps v5
Windows - D64ps v5
Windows - D2pds v5
Windows - D4pds v5
Windows - D8pds v5
Windows - D16pds v5
Windows - D32pds v5
Windows - D48pds v5
Windows - D64pds v5
Windows - D2pls v5
Windows - D4pls v5
Windows - D8pls v5
Windows - D16pls v5
Windows - D32pls v5
Windows - D48pls v5
Windows - D64pls v5
Windows - D2plds v5
Windows - D4plds v5
Windows - D8plds v5
Windows - D16plds v5
Windows - D32plds v5
Windows - D48plds v5
Windows - D64plds v5
Windows - E2ps v5
Windows - E4ps v5
Windows - E8ps v5
Windows - E16ps v5
Windows - E20ps v5
Windows - E32ps v5
Windows - E2pds v5
Windows - E4pds v5
Windows - E8pds v5
Windows - E16pds v5
Windows - E20pds v5
Windows - E32pds v5
LB Rules
LB Rules
Azure Cosmos DB
Azure Cosmos DB
Azure Cosmos DB
Backup
